2026-06-12T10:48:13.416457815Z I0612 10:48:13.416223       1 options.go:263] external host was not specified, using 10.115.252.95
2026-06-12T10:48:14.731044435Z I0612 10:48:14.731017       1 handler.go:304] Adding GroupVersion instancetype.kubevirt.io v1beta1 to ResourceManager
2026-06-12T10:48:14.731715274Z I0612 10:48:14.731681       1 handler.go:304] Adding GroupVersion k3s.cattle.io v1 to ResourceManager
2026-06-12T10:48:14.731741945Z I0612 10:48:14.731718       1 handler.go:304] Adding GroupVersion policy.networking.k8s.io v1alpha2 to ResourceManager
2026-06-12T10:48:14.738916994Z I0612 10:48:14.738486       1 handler.go:304] Adding GroupVersion ipam.cluster.x-k8s.io v1alpha1 to ResourceManager
2026-06-12T10:48:14.738940113Z I0612 10:48:14.738607       1 handler.go:304] Adding GroupVersion ipam.cluster.x-k8s.io v1beta1 to ResourceManager
2026-06-12T10:48:14.738942916Z I0612 10:48:14.738693       1 handler.go:304] Adding GroupVersion ipam.cluster.x-k8s.io v1beta2 to ResourceManager
2026-06-12T10:48:14.738945896Z I0612 10:48:14.738759       1 handler.go:304] Adding GroupVersion ui.cattle.io v1 to ResourceManager
2026-06-12T10:48:14.740840126Z I0612 10:48:14.738915       1 handler.go:304] Adding GroupVersion auditlog.cattle.io v1 to ResourceManager
2026-06-12T10:48:14.740849028Z I0612 10:48:14.739996       1 handler.go:304] Adding GroupVersion kubeovn.io v1 to ResourceManager
2026-06-12T10:48:14.740851524Z I0612 10:48:14.740518       1 handler.go:304] Adding GroupVersion provisioning.cattle.io v1 to ResourceManager
2026-06-12T10:48:14.740853870Z I0612 10:48:14.740587       1 handler.go:304] Adding GroupVersion k8s.cni.cncf.io v1 to ResourceManager
2026-06-12T10:48:14.745320141Z I0612 10:48:14.745208       1 handler.go:304] Adding GroupVersion loadbalancer.harvesterhci.io v1beta1 to ResourceManager
2026-06-12T10:48:14.745423839Z I0612 10:48:14.745388       1 handler.go:304] Adding GroupVersion turtles-capi.cattle.io v1alpha1 to ResourceManager
2026-06-12T10:48:14.749899470Z I0612 10:48:14.748928       1 handler.go:304] Adding GroupVersion telemetry.cattle.io v1 to ResourceManager
2026-06-12T10:48:14.749917426Z I0612 10:48:14.749439       1 handler.go:304] Adding GroupVersion addons.cluster.x-k8s.io v1beta1 to ResourceManager
2026-06-12T10:48:14.749919894Z I0612 10:48:14.749513       1 handler.go:304] Adding GroupVersion addons.cluster.x-k8s.io v1beta2 to ResourceManager
2026-06-12T10:48:14.754837580Z I0612 10:48:14.754687       1 handler.go:304] Adding GroupVersion logging-extensions.banzaicloud.io v1alpha1 to ResourceManager
2026-06-12T10:48:14.755422544Z I0612 10:48:14.755322       1 handler.go:304] Adding GroupVersion forklift.cdi.kubevirt.io v1beta1 to ResourceManager
2026-06-12T10:48:14.755430466Z I0612 10:48:14.755362       1 handler.go:304] Adding GroupVersion upgrade.cattle.io v1 to ResourceManager
2026-06-12T10:48:14.755829212Z I0612 10:48:14.755740       1 handler.go:304] Adding GroupVersion runtime.cluster.x-k8s.io v1alpha1 to ResourceManager
2026-06-12T10:48:14.755840690Z I0612 10:48:14.755776       1 handler.go:304] Adding GroupVersion runtime.cluster.x-k8s.io v1beta2 to ResourceManager
2026-06-12T10:48:14.756041647Z I0612 10:48:14.756003       1 handler.go:304] Adding GroupVersion loadbalancer.harvesterhci.io v1alpha1 to ResourceManager
2026-06-12T10:48:14.756657256Z I0612 10:48:14.756561       1 handler.go:304] Adding GroupVersion migrations.kubevirt.io v1alpha1 to ResourceManager
2026-06-12T10:48:15.475062156Z I0612 10:48:15.474920       1 storage_scheduling.go:139] all system priority classes are created successfully or already exist.
2026-06-12T10:48:16.038875094Z W0612 10:48:16.038726       1 lease.go:265] Resetting endpoints for master service "kubernetes" to [10.115.252.86 10.115.252.95]
2026-06-12T10:48:16.040464427Z I0612 10:48:16.040377       1 controller.go:667] quota admission added evaluator for: endpoints
2026-06-12T10:48:16.051630013Z I0612 10:48:16.051540       1 controller.go:667] quota admission added evaluator for: endpointslices.discovery.k8s.io
2026-06-12T10:48:17.853208060Z E0612 10:48:17.853072       1 watch.go:301] "Unhandled Error" err="http2: stream closed" logger="UnhandledError"
2026-06-12T10:48:18.947884802Z I0612 10:48:18.947756       1 controller.go:667] quota admission added evaluator for: rolebindings.rbac.authorization.k8s.io
2026-06-12T10:48:19.024615642Z W0612 10:48:19.024482       1 logging.go:55] [core] [Channel #259 SubChannel #260]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:19.032179049Z W0612 10:48:19.032054       1 logging.go:55] [core] [Channel #263 SubChannel #264]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:20.144345948Z W0612 10:48:20.144230       1 logging.go:55] [core] [Channel #267 SubChannel #268]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
2026-06-12T10:48:20.477210485Z W0612 10:48:20.477040       1 logging.go:55] [core] [Channel #271 SubChannel #272]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:21.266995983Z W0612 10:48:21.266875       1 logging.go:55] [core] [Channel #275 SubChannel #276]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:22.434767690Z I0612 10:48:22.434607       1 controller.go:667] quota admission added evaluator for: addons.k3s.cattle.io
2026-06-12T10:48:25.262847499Z W0612 10:48:25.262649       1 logging.go:55] [core] [Channel #279 SubChannel #280]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:26.280258514Z W0612 10:48:26.280101       1 logging.go:55] [core] [Channel #283 SubChannel #284]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:29.847914981Z I0612 10:48:29.847799       1 controller.go:667] quota admission added evaluator for: serviceaccounts
2026-06-12T10:48:29.847969199Z I0612 10:48:29.847810       1 controller.go:667] quota admission added evaluator for: serviceaccounts
2026-06-12T10:48:39.021271530Z W0612 10:48:39.021146       1 logging.go:55] [core] [Channel #287 SubChannel #288]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.037738992Z W0612 10:48:39.037607       1 logging.go:55] [core] [Channel #291 SubChannel #292]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.046415502Z W0612 10:48:39.046298       1 logging.go:55] [core] [Channel #295 SubChannel #296]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
2026-06-12T10:48:39.054559415Z W0612 10:48:39.054470       1 logging.go:55] [core] [Channel #299 SubChannel #300]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.062161243Z W0612 10:48:39.061929       1 logging.go:55] [core] [Channel #303 SubChannel #304]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.094335287Z W0612 10:48:39.094239       1 logging.go:55] [core] [Channel #307 SubChannel #308]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.105440847Z W0612 10:48:39.105342       1 logging.go:55] [core] [Channel #311 SubChannel #312]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.112189739Z W0612 10:48:39.112122       1 logging.go:55] [core] [Channel #315 SubChannel #316]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.131603444Z W0612 10:48:39.131488       1 logging.go:55] [core] [Channel #319 SubChannel #320]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.138485749Z W0612 10:48:39.138400       1 logging.go:55] [core] [Channel #323 SubChannel #324]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.152366493Z W0612 10:48:39.152247       1 logging.go:55] [core] [Channel #327 SubChannel #328]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.160556382Z W0612 10:48:39.160427       1 logging.go:55] [core] [Channel #331 SubChannel #332]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.169903906Z W0612 10:48:39.169771       1 logging.go:55] [core] [Channel #335 SubChannel #336]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.180227377Z W0612 10:48:39.180142       1 logging.go:55] [core] [Channel #339 SubChannel #340]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.192856953Z W0612 10:48:39.187442       1 logging.go:55] [core] [Channel #343 SubChannel #344]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.208090049Z W0612 10:48:39.207955       1 logging.go:55] [core] [Channel #347 SubChannel #348]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.213798129Z W0612 10:48:39.213696       1 logging.go:55] [core] [Channel #351 SubChannel #352]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.238294659Z W0612 10:48:39.238199       1 logging.go:55] [core] [Channel #355 SubChannel #356]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.245735507Z W0612 10:48:39.245676       1 logging.go:55] [core] [Channel #359 SubChannel #360]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.263513798Z W0612 10:48:39.263443       1 logging.go:55] [core] [Channel #363 SubChannel #364]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.270421578Z W0612 10:48:39.270342       1 logging.go:55] [core] [Channel #367 SubChannel #368]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.288203405Z W0612 10:48:39.288111       1 logging.go:55] [core] [Channel #371 SubChannel #372]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.297347948Z W0612 10:48:39.297252       1 logging.go:55] [core] [Channel #375 SubChannel #376]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.316582346Z W0612 10:48:39.316440       1 logging.go:55] [core] [Channel #379 SubChannel #380]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.399501799Z W0612 10:48:39.399376       1 logging.go:55] [core] [Channel #383 SubChannel #384]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.419483651Z W0612 10:48:39.419366       1 logging.go:55] [core] [Channel #387 SubChannel #388]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.427091422Z W0612 10:48:39.426958       1 logging.go:55] [core] [Channel #391 SubChannel #392]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.434685691Z W0612 10:48:39.434615       1 logging.go:55] [core] [Channel #395 SubChannel #396]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.442413017Z W0612 10:48:39.442315       1 logging.go:55] [core] [Channel #399 SubChannel #400]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.474767875Z W0612 10:48:39.474637       1 logging.go:55] [core] [Channel #403 SubChannel #404]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.482270982Z W0612 10:48:39.482169       1 logging.go:55] [core] [Channel #407 SubChannel #408]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.490084289Z W0612 10:48:39.489978       1 logging.go:55] [core] [Channel #411 SubChannel #412]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.497092831Z W0612 10:48:39.497003       1 logging.go:55] [core] [Channel #415 SubChannel #416]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.543065926Z W0612 10:48:39.542916       1 logging.go:55] [core] [Channel #419 SubChannel #420]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.551582156Z W0612 10:48:39.551517       1 logging.go:55] [core] [Channel #423 SubChannel #424]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.571389644Z W0612 10:48:39.571281       1 logging.go:55] [core] [Channel #427 SubChannel #428]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.579343298Z W0612 10:48:39.579223       1 logging.go:55] [core] [Channel #431 SubChannel #432]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.621815785Z W0612 10:48:39.621693       1 logging.go:55] [core] [Channel #435 SubChannel #436]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.629112508Z W0612 10:48:39.629012       1 logging.go:55] [core] [Channel #439 SubChannel #440]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.638312302Z W0612 10:48:39.638202       1 logging.go:55] [core] [Channel #443 SubChannel #444]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
2026-06-12T10:48:39.659088676Z W0612 10:48:39.658944       1 logging.go:55] [core] [Channel #447 SubChannel #448]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.667377585Z W0612 10:48:39.667306       1 logging.go:55] [core] [Channel #451 SubChannel #452]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.684490030Z W0612 10:48:39.684393       1 logging.go:55] [core] [Channel #455 SubChannel #456]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.695205651Z W0612 10:48:39.695118       1 logging.go:55] [core] [Channel #459 SubChannel #460]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.699979048Z W0612 10:48:39.699912       1 logging.go:55] [core] [Channel #463 SubChannel #464]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.708114666Z W0612 10:48:39.708005       1 logging.go:55] [core] [Channel #467 SubChannel #468]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T10:48:39.719116309Z W0612 10:48:39.719013       1 logging.go:55] [core] [Channel #471 SubChannel #472]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
